Document,Similar_Document,Distance,Similar_Document_Content
357156 - NextML AB.txt,351996 - Matium.txt,41.098854,
357156 - NextML AB.txt,351996 - Matium.txt,41.098854,
357156 - NextML AB.txt,358719 - Napice.txt,43.403343,
357156 - NextML AB.txt,351996 - Matium.txt,41.098854064941406,
357156 - NextML AB.txt,351996 - Matium.txt,41.098854064941406,
357156 - NextML AB.txt,351996 - Matium.txt,41.098854064941406,
351996 - Matium.txt,companies_data/357156 - NextML AB.txt,41.098854064941406,
351996 - Matium.txt,357156 - NextML AB.txt,41.098854064941406,
351996 - Matium.txt,companies_data/357156 - NextML AB.txt,41.098854064941406,
146210 - DATABASICS.txt,"349979 - Infinity Solutions, LLC.txt",49.40113067626953,
146210 - DATABASICS.txt,353434 - Pro IT Partner.txt,52.75975799560547,
146210 - DATABASICS.txt,351142 - Skillko.txt,56.40620422363281,
358264 - martini.ai.txt,350622 - DARBYTEK.txt,42.47306060791016,
358264 - martini.ai.txt,215134 - Sinara.txt,44.13150405883789,
358264 - martini.ai.txt,357247 - Understanding Solutions.txt,46.354583740234375,
354271 - modl.ai.txt,68232 - Statespace.txt,39.37095642089844,
359874 - Slim.AI.txt,352395 - RedBlink.txt,44.862281799316406,
359874 - Slim.AI.txt,352395 - RedBlink.txt,44.862281799316406,
359874 - Slim.AI.txt,352395 - RedBlink.txt,44.862281799316406,
359874 - Slim.AI.txt,360825 - M Genio.txt,48.52238845825195,
339338 - Norsk Tipping.txt,351777 - Motkraft.txt,52.355690002441406,
339338 - Norsk Tipping.txt,353782 - Factoringgruppen.txt,56.57120895385742,
339338 - Norsk Tipping.txt,362750 - Intelliplan.txt,57.75948333740234,
339338 - Norsk Tipping.txt,350555 - Avida Finans AB.txt,62.401153564453125,
334889 - Body&Fit.txt,326649 - WRKOUT.txt,50.14651107788086,
334889 - Body&Fit.txt,358661 - Magfit.txt,68.1873550415039,
323861 - 1000Farmacie.txt,342108 - Datawizard.txt,45.741397857666016,
323861 - 1000Farmacie.txt,342108 - Datawizard.txt,45.741397857666016,
323861 - 1000Farmacie.txt,46003 - Job Today.txt,56.271392822265625,
323861 - 1000Farmacie.txt,342108 - Datawizard.txt,45.741397857666016,
323861 - 1000Farmacie.txt,342108 - Datawizard.txt,45.741397857666016,
323974 - Onc.AI.txt,323458 - NeuraLight.txt,49.60986328125,
323974 - Onc.AI.txt,323458 - NeuraLight.txt,49.60986328125,
323974 - Onc.AI.txt,323458 - NeuraLight.txt,49.60986328125,
323974 - Onc.AI.txt,323458 - NeuraLight.txt,49.60986328125,
323974 - Onc.AI.txt,323458 - NeuraLight.txt,49.60986328125,
323974 - Onc.AI.txt,323458 - NeuraLight.txt,49.60986328125,
323974 - Onc.AI.txt,323458 - NeuraLight.txt,49.60986328125,
323974 - Onc.AI.txt,354489 - Oncoustics.txt,43.7796745300293,
323974 - Onc.AI.txt,323458 - NeuraLight.txt,49.60986328125,
323974 - Onc.AI.txt,"351806 - Red Kubes, the creators of Otomi.txt",49.60986328125,
323974 - Onc.AI.txt,354047 - Kabandy.txt,49.60986328125,
323974 - Onc.AI.txt,359585 - SSIMWAVE.txt,49.60986328125,
323974 - Onc.AI.txt,351000 - Freesense ApS.txt,53.7254638671875,
323974 - Onc.AI.txt,"343990 - Biolojic Design, Ltd..txt",48.19316101074219,
323974 - Onc.AI.txt,"351806 - Red Kubes, the creators of Otomi.txt",49.60986328125,
323974 - Onc.AI.txt,354047 - Kabandy.txt,49.60986328125,
323974 - Onc.AI.txt,"343990 - Biolojic Design, Ltd..txt",48.19316101074219,
323974 - Onc.AI.txt,"351806 - Red Kubes, the creators of Otomi.txt",49.60986328125,
323974 - Onc.AI.txt,"343990 - Biolojic Design, Ltd..txt",48.19316101074219,
323921 - Gadget.txt,358058 - Joboss.txt,41.02940368652344,
323921 - Gadget.txt,362660 - Ideon Technologies.txt,41.55179977416992,
323921 - Gadget.txt,350933 - Mr.IIoT.txt,42.97870635986328,
323921 - Gadget.txt,322724 - Shared Vision.txt,45.40363693237305,
323921 - Gadget.txt,358058 - Joboss.txt,41.02940368652344,
323921 - Gadget.txt,362660 - Ideon Technologies.txt,41.55179977416992,
323921 - Gadget.txt,350933 - Mr.IIoT.txt,42.97870635986328,
334889 - Body&Fit.txt,359454 - GAT Sport.txt,38.53487777709961,
334889 - Body&Fit.txt,359454 - GAT Sport.txt,38.53487777709961,
334889 - Body&Fit.txt,360846 - optAd360.txt,50.14651107788086,
